id_venda,data_venda,cliente,produto,categoria,regiao,quantidade,preco_unitario
1,2024-01-13,Cliente_024,Mouse,Periféricos,Norte,2,120.0
4,2024-06-23,Cliente_013,Mouse,Periféricos,Sudeste,7,120.0
5,2024-11-05,Cliente_030,Tablet,Celulares,Centro-Oeste,6,1800.0
6,2024-05-30,Cliente_023,Notebook,Computadores,Sudeste,9,3500.0
7,2024-05-28,Cliente_015,Notebook,Computadores,Nordeste,4,3500.0
8,2024-06-30,Cliente_020,Smartphone,Celulares,Sul,6,2200.0
9,2024-03-24,Cliente_008,Teclado,Periféricos,Nordeste,4,250.0
10,2024-01-17,Cliente_019,Notebook,Computadores,Nordeste,4,3500.0
11,2024-07-21,Cliente_024,Smartphone,Celulares,Norte,8,2200.0
12,2024-10-26,Cliente_005,Teclado,Periféricos,Norte,5,250.0
13,2024-01-25,Cliente_020,Monitor,Computadores,Sudeste,2,1200.0
14,2024-11-01,Cliente_001,Monitor,Computadores,Sudeste,7,1200.0
15,2024-05-16,Cliente_001,Mouse,Periféricos,Nordeste,9,120.0
16,2024-09-16,Cliente_020,Teclado,Periféricos,Sul,3,250.0
18,2024-07-04,Cliente_029,Notebook,Computadores,Norte,2,3500.0
19,2024-09-05,Cliente_022,Notebook,Computadores,Centro-Oeste,2,3500.0
20,2024-05-15,Cliente_025,Teclado,Periféricos,Sul,3,250.0
21,2024-07-23,Cliente_004,Mouse,Periféricos,Sul,5,120.0
23,2024-01-17,Cliente_007,Smartphone,Celulares,Norte,2,2200.0
24,2024-10-22,Cliente_004,Smartphone,Celulares,Centro-Oeste,10,2200.0
25,2024-07-29,Cliente_004,Tablet,Celulares,Sudeste,7,1800.0
26,2024-02-25,Cliente_009,Monitor,Computadores,Centro-Oeste,6,1200.0
27,2024-08-14,Cliente_018,Smartphone,Celulares,Sudeste,2,2200.0
28,2024-03-26,Cliente_006,Notebook,Computadores,Centro-Oeste,4,3500.0
29,2024-05-15,Cliente_024,Notebook,Computadores,Norte,7,3500.0
30,2024-03-20,Cliente_002,Mouse,Periféricos,Nordeste,8,120.0
31,2024-10-26,Cliente_017,Notebook,Computadores,Sudeste,1,3500.0
32,2024-10-31,Cliente_019,Smartphone,Celulares,Sul,2,2200.0
33,2024-01-21,Cliente_030,Teclado,Periféricos,Nordeste,10,250.0
34,2024-05-02,Cliente_030,Smartphone,Celulares,Sudeste,6,2200.0
35,2024-11-14,Cliente_009,Notebook,Computadores,Sul,8,3500.0
36,2024-05-05,Cliente_020,Tablet,Celulares,Norte,2,1800.0
37,2024-06-02,Cliente_029,Notebook,Computadores,Sudeste,9,3500.0
38,2024-03-20,Cliente_021,Mouse,Periféricos,Nordeste,9,120.0
39,2024-05-08,Cliente_009,Teclado,Periféricos,Sudeste,8,250.0
40,2024-03-07,Cliente_014,Notebook,Computadores,Norte,6,3500.0
41,2024-02-08,Cliente_012,Notebook,Computadores,Norte,2,3500.0
42,2024-08-08,Cliente_028,Teclado,Periféricos,Sudeste,3,250.0
43,2024-12-15,Cliente_014,Tablet,Celulares,Norte,4,1800.0
44,2024-05-01,Cliente_001,Mouse,Periféricos,Sul,3,120.0
45,2024-07-29,Cliente_026,Mouse,Periféricos,Sudeste,6,120.0
46,2024-08-28,Cliente_026,Monitor,Computadores,Sul,1,1200.0
47,2024-12-03,Cliente_009,Smartphone,Celulares,Nordeste,1,2200.0
48,2024-07-23,Cliente_029,Mouse,Periféricos,Nordeste,9,120.0
50,2024-07-16,Cliente_017,Teclado,Periféricos,Norte,2,250.0
51,2024-07-05,Cliente_022,Mouse,Periféricos,Sudeste,4,120.0
52,2024-09-16,Cliente_005,Mouse,Periféricos,Sul,5,120.0
53,2024-12-12,Cliente_027,Monitor,Computadores,Sudeste,7,1200.0
54,2024-04-17,Cliente_015,Tablet,Celulares,Sul,5,1800.0
55,2024-03-27,Cliente_003,Teclado,Periféricos,Sul,8,250.0
